Source,Target,Type,Id,Label,timeset,Weight,weights
1,2,Undirected,0,,,16,16
1,3,Undirected,1,,,43,43
1,4,Undirected,2,,,60,60
2,3,Undirected,25,,,13,13
2,7,Undirected,29,,,50,50
3,5,Undirected,50,,,57,57
3,6,Undirected,51,,,77,77
3,7,Undirected,52,,,50,50
4,7,Undirected,74,,,14,14
5,6,Undirected,94,,,34,34
6,7,Undirected,115,,,67,67
7,8,Undirected,135,,,56,56
7,10,Undirected,137,,,69,69
7,11,Undirected,138,,,54,54
8,9,Undirected,154,,,36,36
8,10,Undirected,155,,,3,3
9,10,Undirected,172,,,10,10
9,12,Undirected,174,,,40,40
10,11,Undirected,189,,,71,71
10,12,Undirected,190,,,55,55
11,12,Undirected,205,,,78,78
12,13,Undirected,220,,,57,57
12,14,Undirected,221,,,71,71
13,14,Undirected,234,,,21,21
13,15,Undirected,235,,,45,45
15,16,Undirected,259,,,82,82
15,18,Undirected,261,,,23,23
16,17,Undirected,270,,,19,19
16,18,Undirected,271,,,44,44
17,18,Undirected,280,,,1,1
17,21,Undirected,283,,,4,4
18,19,Undirected,289,,,1,1
18,21,Undirected,291,,,20,20
20,26,Undirected,309,,,40,40
21,22,Undirected,310,,,22,22
21,23,Undirected,311,,,22,22
21,24,Undirected,312,,,22,22
21,25,Undirected,313,,,22,22
21,26,Undirected,314,,,22,22
22,23,Undirected,315,,,22,22
